Deputado,Partido,Voto,Estado
Ossesio Silva,Republicanos,Sim,PE
Otoni de Paula,MDB,Não,RJ
Otto Alencar Filho,PSD,Não,BA
Padovani,União,Sim,PR
Padre João,PT,Não,MG
Pastor Claudio Mar,União,Sim,PA
Pastor Diniz,União,Sim,RR
Pastor Eurico,PL,Sim,PE
Pastor Gil,PL,Sim,MA
Pastor Henrique V.,PSOL,Não,RJ
Pastor Isidório,Avante,Não,BA
Patrus Ananias,PT,Não,MG
Pauderney Avelino,União,Sim,AM
Paulão,PT,Não,AL
Paulinho da Força,Solidariede,Sim,SP
Paulo A. Barbosa,PSDB,Não,SP
Paulo Abi-Ackel,PSDB,Sim,MG
Paulo Azi,União,Sim,BA
Paulo Folletto,PSB,Sim,ES
Paulo Freire Costa,PL,Sim,SP
Paulo Guedes,PT,Sim,MG
Paulo Lemos,PSOL,Não,AP
Paulo Litro,PSD,Sim,PR
Paulo Magalhães,PSD,Sim,BA
Paulo Pimenta,PT,Não,RS
Pedro A ihara,PRD,Sim,MG
Pedro Campos,PSB,Sim,PE
Pedro Lucas F.,União,Sim,MA
Pedro Lupion,PP,Sim,PR
Pedro Paulo,PSD,Sim,RJ
Pedro Uczai,PT,Não,SC
Pedro Westphalen,PP,Sim,RS
Pezenti,MDB,Sim,SC
Pinheirinho,PP,Sim,MG
Pompeo de Mattos,PDT,Não votou,RS
Pr.Marco Feliciano,PL,Sim,SP
Prof Marcivania,PCdoB,Não,AP
Prof. Reginaldo V.,PV,Não,DF
Professor Alcides,PL,Sim,GO
Professora Luciene,PSOL,Não,SP
Rafael Brito,MDB,Não votou,AL
Rafael Fera,PODE,Sim,RO
Rafael Prudente,MDB,Sim,DF
Rafael Simoes,União,Sim,MG
Raimundo Costa,PODE,Sim,BA
Raimundo Santos,PSD,Sim,PA
Reginaldo Lopes,PT,Não,MG
Reimont,PT,Não,RJ
Reinhold Stephanes,PSD,Sim,PR
Renata Abreu,PODE,Sim,SP
Renilce Nicodemos,MDB,Sim,PA
Renildo Calheiros,PCdoB,Não,PE
Ribamar Silva,PSD,Não,SP
Ricardo Abrão,União,Sim,RJ
Ricardo Ayres,Republicanos,Sim,TO
Ricardo Barros,PP,Sim,PR
Ricardo Guidi,PL,Sim,SC
Ricardo Maia,MDB,Sim,BA
Ricardo Salles,Novo,Não votou,SP
Robério Monteiro,PDT,Sim,CE
Roberta Roma,PL,Sim,BA
Roberto Duarte,Republicanos,Sim,AC
Roberto Monteiro,PL,Sim,RJ
Robinson Faria,PP,Sim,RN
Rodolfo Nogueira,PL,Sim,MS
Rodrigo Estacho,PSD,Sim,PR
Rodrigo Gambale,PODE,Sim,SP
Rodrigo Rollemberg,PSB,Não,DF
Rodrigo Valadares,União,Sim,SE
Rodrigo da Zaeli,PL,Sim,MT
Rodrigo de Castro,União,Sim,MG
Rogéria Santos,Republicanos,Sim,BA
Rogério Correia,PT,Não,MG
Romero Rodrigues,PODE,Sim,PB
Ronaldo Nogueira,Republicanos,Sim,RS
Rosana Valle,PL,Sim,SP
Rosangela Moro,União,Não,SP
Rosângela Reis,PL,Sim,MG
Rubens Otoni,PT,Não,GO
Rubens Pereira Jr.,PT,Não,MA
Rui Falcão,PT,Não,SP
Ruy Carneiro,PODE,Não,PB
Sâmia Bomfim,PSOL,Não,SP
Samuel Santos,PODE,Sim,GO
Samuel Viana,Republicanos,Sim,MG
Sanderson,PL,Sim,RS
Sargento Fahur,PSD,Sim,PR
Sargento Portugal,PODE,Sim,RJ
Saulo Pedroso,PSD,Não,SP
Sergio Souza,MDB,Sim,PR
Sgt. Gonçalves,PL,Sim,RN
Sidney Leite,PSD,Não,AM
Silas Câmara,Republicanos,Sim,AM
Silvia Cristina,PP,Sim,RO
Silvye Alves,União,Sim,GO
Simone Marquetto,MDB,Sim,SP
Socorro Neri,PP,Não,AC
Soraya Santos,PL,Sim,RJ
Sóstenes Cavalcant,PL,Sim,RJ
Stefano Aguiar,PSD,Não votou,MG
Tabata Amaral,PSB,Não,SP
Tadeu Veneri,PT,Não,PR
Talíria Petrone,PSOL,Não,RJ
Tarcísio Motta,PSOL,Não,RJ
Thiago Flores,Republicanos,Não votou,RO
Thiago de Joaldo,PP,Sim,SE
Tiago Dimas,PODE,Sim,TO
Tião Medeiros,PP,Sim,PR
Tiririca,PL,Sim,SP
ToninhoWandscheer,PP,Sim,PR
Túlio Gadêl ha,Rede,Não,PE
Valmir Assunção,PT,Não,BA
Vander Loubet,PT,Não,MS
Vermelho,PP,Sim,PR
Vicentinho,PT,Não,SP
Vicentinho Júnior,PP,Sim,TO
Vinicius Carvalho,Republicanos,Sim,SP
Vinicius Gurgel,PL,Sim,AP
Vitor Lippi,PSDB,Não,SP
Waldemar Oliveira,Avante,Sim,PE
Waldenor Pereira,PT,Não,BA
Weliton Prado,Solidariede,Não,MG
Wellington Roberto,PL,Sim,PB
Welter,PT,Não,PR
Wilson Santiago,Republicanos,Sim,PB
Yandra Moura,União,Não votou,SE
Yury do Paredão,MDB,Sim,CE
Zé Adriano,PP,Sim,AC
Zé Neto,PT,Não,BA
Zé Silva,Solidariede,Não votou,MG
Zé Trovão,PL,Sim,SC
Zé Vitor,PL,Sim,MG
ZéHaroldoCathedral,PSD,Não,RR
Zeca Dirceu,PT,Não votou,PR
Zezinho Barbary,PP,Sim,AC
Zucco,PL,Sim,RS
